date,day,week_num,is_deload,block,exercise_id,exercise_name,set_num,weight,rpe,completed
2026-04-07,monday,15,no,Core / PT Warmup,flow-core_warmup,Core & PT warmup,1,,,yes
2026-04-07,monday,15,no,Abrahangs,flow-finger_prehab,Abrahangs,1,,,yes
2026-04-07,monday,15,no,Bouldering,flow-easy_bouldering,Easy bouldering,1,,,yes
2026-04-07,tuesday,15,no,Abrahangs,flow-finger_prehab,Abrahangs,1,,,no
2026-04-07,monday,15,no,Abrahangs — Session 1,flow-finger_prehab_1,Abrahangs — Session 1,1,,,yes
2026-04-07,tuesday,15,no,Abrahangs — Session 1,flow-finger_prehab_1,Abrahangs — Session 1,1,,,yes
2026-04-07,tuesday,15,no,Core / PT Warmup,flow-core_warmup,Core & PT warmup,1,,,yes
2026-04-07,tuesday,N/A,no,Lift — Lower + Pull,ll0,Assisted pistol squat,0,0,5,yes
2026-04-07,tuesday,N/A,no,Lift — Lower + Pull,ll0,Assisted pistol squat,1,0,7,yes
2026-04-07,tuesday,N/A,no,Lift — Lower + Pull,ll0,Assisted pistol squat,2,0,7,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll1,Bulgarian split squat,0,25,4,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll1,Bulgarian split squat,1,45,6,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll1,Bulgarian split squat,2,55,8,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll1,Bulgarian split squat,3,60,9,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll5,Slider hamstring curl,0,,4,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll5,Slider hamstring curl,1,,5,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll5,Slider hamstring curl,2,,7,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll5,Slider hamstring curl,2,,6,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll3,Weighted pull-ups,0,,2,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll3,Weighted pull-ups,1,40,5,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll3,Weighted pull-ups,2,45,7,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll2,Romanian deadlift,0,60,1,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll2,Romanian deadlift,1,85,2,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll2,Romanian deadlift,2,115,4,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll2,Romanian deadlift,3,145,7,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll3,Weighted pull-ups,3,55,9,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll6,Dumbbell row,0,20,1,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll6,Dumbbell row,1,35,2,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll6,Dumbbell row,2,40,4,yes
2026-04-07,tuesday,15,no,Lift — Lower + Pull,ll6,Dumbbell row,3,45,4,yes
2026-04-07,tuesday,15,no,Post-Session Stretch,flow-post_stretch_lift,Post-session stretch,1,,,yes
2026-04-07,tuesday,15,no,Abrahangs — Session 2,flow-finger_prehab_2,Abrahangs — Session 2,1,,,yes
2026-04-06,monday,15,no,Core / PT Warmup,flow-core_warmup,Core & PT warmup,1,,,yes
2026-04-06,monday,15,no,Abrahangs — Session 1,flow-finger_prehab_1,Abrahangs — Session 1,1,,,yes
2026-04-06,monday,15,no,Bouldering,flow-easy_bouldering,Easy bouldering,1,,,yes
2026-04-07,monday,N/A,no,Workout,flow-Core / PT Warmup,Core / PT Warmup,0,,,no
